record_id,task_id,department,asset_type,section,reported_date,completed_date,severity,safety_criticality,overdue_days,estimated_duration,actual_duration,failure_history,traffic_density,block_granted,completion_status,train_delay_minutes
H001,H-T001,Engineering,Track,A-B,2026-01-04,2026-01-05,9,9,2,2.0,2.2,3,0.72,YES,COMPLETED,4
H002,H-T002,S&T,Signal,A-B,2026-01-11,2026-01-11,7,8,0,1.0,1.1,2,0.68,YES,COMPLETED,2
H003,H-T003,TRD,OHE,A-B,2026-01-18,2026-01-19,8,8,3,2.0,2.0,4,0.70,YES,COMPLETED,3
H004,H-T004,Engineering,Track,B-C,2026-02-02,2026-02-04,6,7,5,2.0,2.8,2,0.60,YES,COMPLETED,9
H005,H-T005,S&T,Signal,B-C,2026-02-08,2026-02-08,5,6,0,1.0,1.0,1,0.55,YES,COMPLETED,1
H006,H-T006,TRD,OHE,C-D,2026-02-16,2026-02-20,7,7,7,2.0,2.4,3,0.45,YES,COMPLETED,5
H007,H-T007,Engineering,Track,C-D,2026-03-01,2026-03-03,4,5,4,1.5,1.7,1,0.43,YES,COMPLETED,3
H008,H-T008,S&T,Signal,D-E,2026-03-09,2026-03-12,8,8,6,1.5,2.0,3,0.32,NO,DEFERRED,0
H009,H-T009,TRD,OHE,D-E,2026-03-15,2026-03-16,6,7,1,2.0,2.0,2,0.30,YES,COMPLETED,2
H010,H-T010,Engineering,Track,E-F,2026-03-22,2026-03-25,3,4,8,2.0,2.5,1,0.25,YES,COMPLETED,2
H011,H-T011,S&T,Signal,A-B,2026-04-04,2026-04-04,9,9,0,1.0,1.0,4,0.74,YES,COMPLETED,2
H012,H-T012,TRD,OHE,B-C,2026-04-12,2026-04-14,8,8,4,2.0,2.3,4,0.59,YES,COMPLETED,5
H013,H-T013,Engineering,Track,C-D,2026-04-20,2026-04-24,7,8,9,2.5,3.0,3,0.48,NO,DEFERRED,0
H014,H-T014,S&T,Signal,C-D,2026-05-01,2026-05-02,6,7,1,1.0,1.2,2,0.44,YES,COMPLETED,2
H015,H-T015,TRD,OHE,E-F,2026-05-10,2026-05-11,5,6,2,2.0,2.0,1,0.27,YES,COMPLETED,1
H016,H-T016,Engineering,Track,A-B,2026-05-18,2026-05-20,8,9,5,2.0,2.6,4,0.75,YES,COMPLETED,6
H017,H-T017,S&T,Signal,B-C,2026-06-02,2026-06-03,7,8,2,1.5,1.6,3,0.61,YES,COMPLETED,3
H018,H-T018,TRD,OHE,A-B,2026-06-11,2026-06-14,9,9,6,2.5,3.0,5,0.78,NO,DEFERRED,0
H019,H-T019,Engineering,Track,D-E,2026-06-20,2026-06-21,4,5,0,1.5,1.4,1,0.35,YES,COMPLETED,1
H020,H-T020,S&T,Signal,E-F,2026-06-28,2026-06-28,3,4,0,1.0,0.9,0,0.22,YES,COMPLETED,0
